bloco,chave,qtd,pct,variantes
B1_BRUTO,Gerente Regional de Logística | Bunge Brasil,1,,
B1_BRUTO,Coordenador de Logística / Mercado Livre - LinkedIn,1,,
B1_BRUTO,DHL Supply Chain,1,,
B1_BRUTO,ALD Bioenergia Deciolândia S/A,1,,
B1_BRUTO,Edison Chouest Offshore / Brasil Port,1,,
B1_BRUTO,Gestão de Processos e OPEX/CAPEX.,1,,
B1_BRUTO,Plant Maintenance Manager,1,,
B1_BRUTO,"Supply Engineer / Procurement Manager, Contract ...",1,,
B1_BRUTO,Gerente de Compras e Contratos Seacrest Petróleo,1,,
B1_BRUTO,Executivo de Saneamento 25 anos de ...,1,,
B1_BRUTO,Planejador de Manutenção,1,,
B1_BRUTO,Gerente de Suprimentos na Klabin,1,,
B1_BRUTO,General Manager Supply Chain,1,,
B1_BRUTO,Gerente de engenharia,1,,
B1_BRUTO,Aura Minerals Inc,1,,
B1_BRUTO,Gerente de Compras Regional na Nestlé,1,,
B1_BRUTO,Head de Manutenção,1,,
B1_BRUTO,Gerente de Compras SHEMAR Latam Holding Ltda,1,,
B1_BRUTO,Commercial and Purchasing Manager ...,1,,
B1_BRUTO,PMO ; Gerente de Projetos,1,,
B1_BRUTO,Gerente de Suprimentos & Supply Chain ...,1,,
B1_BRUTO,Global Supply Chain & Procurement Leader — Data Centers (Hortolândia),1,,
B1_BRUTO,Executivo Sênior de Supply Chain,1,,
B1_BRUTO,Engenheiro Civil na Construtora TSR Ltda.,1,,
B1_BRUTO,Gerente de Engenharia de Processos,1,,
B1_BRUTO,Gerente de Projetos ArcelorMittal Brasil,1,,
B1_BRUTO,Sócio DELCO Comércio e Construções (apostilamento arena Valparaíso II),1,,
B1_BRUTO,Diretor — Inpasa Agroindustrial,1,,
B1_BRUTO,Logística e Supply Chain,1,,
B1_BRUTO,Compradora Senior,1,,
B1_BRUTO,Diretor-Presidente Infra S.A. (executora pública FIOL),1,,
B1_BRUTO,Senior Infrastructure and Technology Executive,1,,
B1_BRUTO,Head of Logistics Operations,1,,
B1_BRUTO,Operations Manager @Pick'n'Drive Auto ...,1,,
B1_BRUTO,Engenheiro civil focado em gestão e ...,1,,
B1_BRUTO,Buyer / Supply Chain / Analista de Suprimentos — Aegea Saneamento,1,,
B1_BRUTO,Gestão em Supply Chain,1,,
B1_BRUTO,Procurement Manager at BASF,1,,
B1_BRUTO,Engenharia de manutenção,1,,
B1_BRUTO,Diretor-Presidente da TLSA (Grupo CSN),1,,
B1_BRUTO,Diretor de compras na Prefeitura Municipal de ...,1,,
B1_BRUTO,Programa Federal — substituição 700 pontes madeira rodovias federais,1,,
B1_BRUTO,Gerente de Projetos | Sistemas Metro-Ferroviários,1,,
B1_BRUTO,Supervisora de Supply Chain,1,,
B1_BRUTO,Diretor de Relações Institucionais,1,,
B1_BRUTO,Capital Projects & Engineering Manager,1,,
B1_BRUTO,Head of Procurement Scania Southern Africa,1,,
B1_BRUTO,Supply Chain Design Strategist,1,,
B1_BRUTO,Logística & Supply Chain,1,,
B1_BRUTO,Buyer/Compras/Suprimentos/Contratações,1,,
B1_BRUTO,Head de Compras/Suprimentos ...,1,,
B1_BRUTO,"Supply Chain, Procurement, Contracts, Commercial",1,,
B1_BRUTO,Compras/Contratos Corporativos — Portonave S/A Terminais Navegantes,1,,
B1_BRUTO,Fertilizers Industrial Manager at COFCO INT,1,,
B1_BRUTO,Senior Buyer - Focus on Infrastructure and IT,1,,
B1_BRUTO,Steel Sourcing Analyst LATAM at Nextracker,1,,
B1_BRUTO,Canal rh (role-based),1,,
B1_BRUTO,Category Manager,1,,
B1_BRUTO,Head of Procurement @ Air Liquide,1,,
B1_BRUTO,Engenheiro Civil/ Ambiental,1,,
B1_BRUTO,Supply chain manager,1,,
B1_BRUTO,Gerente de Suprimentos l Procurement l ...,1,,
B1_BRUTO,"Gerente de Projetos, Processos e ...",1,,
B1_BRUTO,Engenheiro Mecânico de Projetos na CSN,1,,
B1_BRUTO,Coordenador de Suprimentos na Aegea ...,1,,
B1_BRUTO,Sr Supply Chain & Operations Leader,1,,
B1_BRUTO,Coordenador de Logística e Suprimentos,1,,
B1_BRUTO,Engenheiro de projetos na Energisa Paraiba ...,1,,
B1_BRUTO,Operations Manager - New Wave Cartage - LinkedIn,1,,
B1_BRUTO,Engenharia Ambiental l Licenciamento ...,1,,
B1_BRUTO,Buyer at LANXESS,1,,
B1_BRUTO,"Fundo Marinha Mercante R$409,7M — indústria naval Amazonas",1,,
B1_BRUTO,Diretor Executivo — Aegea,1,,
B1_BRUTO,Service Procurement Manager,1,,
B1_BRUTO,Gestor em Compras Powertrain Hyundai Motor Brasil (Piracicaba),1,,
B1_BRUTO,MBA-Supply Chain| Customer Service,1,,
B1_BRUTO,Comprador Técnico,1,,
B1_BRUTO,Gerente de projetos em M&A no IDIS,1,,
B1_BRUTO,AENA BRASIL SA,1,,
B1_BRUTO,Gerente de Engenharia e Manutenção Industrial,1,,
B1_BRUTO,Executivo de Supply Chain e Suprimentos,1,,
B1_BRUTO,Engenheiro de projetos de engenharia ...,1,,
B1_BRUTO,Presidente — Petrocity Portos (operadora do CPSM),1,,
B1_BRUTO,Supply Chain Manager I Head of Supply ...,1,,
B1_BRUTO,Procurement & Supply Chain,1,,
B1_BRUTO,Commercial Supply Chain Analyst,1,,
B1_BRUTO,Gerente de Projetos de Engenharia,1,,
B1_BRUTO,Engenheiro Civil Sênior da ...,1,,
B1_BRUTO,Supply Chain/Logistics Management,1,,
B1_BRUTO,Gerente de obras,1,,
B1_BRUTO,Comprador / Procurement / Buyer ...,1,,
B1_BRUTO,Supply Chain|Logistics|Projects,1,,
B1_BRUTO,Executivo de Procurement e Supply Chain,1,,
B1_BRUTO,"Gerente de Projetos, PMO, Mestre em Gestão ...",1,,
B1_BRUTO,CEO DOF Subsea (contrato R$11bi Petrobras 4 PSVs Navship),1,,
B1_BRUTO,Diretor industrial na Atlas Eletrodomésticos,1,,
B1_BRUTO,Strategic Sourcing Manager,1,,
B1_BRUTO,Especialista em Supply Chain,1,,
B1_BRUTO,Head of Regional Procurement and Supply Chain,1,,
B1_BRUTO,Procurement Manager at Air Products Brasil,1,,
B1_BRUTO,Gerente de projetos na Dnit,1,,
B1_BRUTO,Pharmaceutical Supply Chain at Secretaria de ...,1,,
B1_BRUTO,Engineering Manager at PLS Brazil,1,,
B1_BRUTO,Head of Procurement at LD Celulose S.A,1,,
B1_BRUTO,Gerente de Pesquisa e Inovação — Porto do Itaqui (EMAP),1,,
B1_BRUTO,Diretor de Business Supergasbras (SPE Ultragaz+Supergasbras Pecém),1,,
B1_BRUTO,Gerente de Projetos deTecnologia da ...,1,,
B1_BRUTO,Operations/Project Manager ...,1,,
B1_BRUTO,Gerente Comercial Ração Animal no ...,1,,
B1_BRUTO,Commercial Director / New Business AGEO Terminals (Grupo Simões + EBT),1,,
B1_BRUTO,"Gerente de Compras, Licitações e Contratos",1,,
B1_BRUTO,Gerente de projetos na Santa ...,1,,
B1_BRUTO,Compras / Supply Chain,1,,
